epoch,train_loss,MSE,MAE,RMSE,R2,IC,RankIC
0,1.1006801976327256,1.0003844499588013,0.7348522543907166,1.0001921653747559,-0.036112427711486816,-0.028562601804237576,-0.02989995965327059
1,1.0266909032392404,0.9870927333831787,0.7308226227760315,0.9935253858566284,-0.022346019744873047,-0.028644108253653204,-0.03488768471365493
2,0.9985196297863108,0.9838497042655945,0.7291861772537231,0.9918919801712036,-0.018987178802490234,-0.01864559420372998,-0.02043482750496742
3,0.9768267717599384,0.9847597479820251,0.7293469309806824,0.9923506379127502,-0.01992976665496826,-0.020073096876636328,-0.026893431175527564
4,0.9682715801017591,0.9847896099090576,0.7295814752578735,0.9923656582832336,-0.019960641860961914,-0.02259762818114496,-0.03200432242917559
5,0.9599817872897185,0.9883784651756287,0.7323013544082642,0.9941722750663757,-0.023677706718444824,-0.026163217231679317,-0.03363751919271293
6,0.9505082106031857,0.9904413819313049,0.7332399487495422,0.9952092170715332,-0.025814294815063477,-0.02228783590091041,-0.03039067010298294
7,0.945378876812832,0.9902940392494202,0.7334384322166443,0.9951351881027222,-0.025661706924438477,-0.014208790573382176,-0.02253614935952993
8,0.9350943514989981,0.9953956604003906,0.7354481220245361,0.9976951479911804,-0.030945539474487305,-0.017431056692286295,-0.026661736349388513
9,0.929770343961638,0.9989286065101624,0.7364911437034607,0.9994641542434692,-0.034604668617248535,-0.01509410253799952,-0.018378357569760934
10,0.9211915651309758,1.000643253326416,0.7372851967811584,1.000321626663208,-0.03638052940368652,-0.00967315110481409,-0.009995151308498438
11,0.9147960968512867,1.0078469514846802,0.7410592436790466,1.003915786743164,-0.04384148120880127,-0.01276917720247638,-0.011093816439079002
12,0.903754179079518,1.0068573951721191,0.740669846534729,1.0034228563308716,-0.0428166389465332,-0.008333344915898116,-0.00944394881465829
13,0.8983769322728431,1.0108000040054321,0.7429034113883972,1.0053855180740356,-0.046900033950805664,-0.0036290743760873123,-0.006669991556620815
14,0.8863188904803057,1.023391842842102,0.7470459938049316,1.011628270149231,-0.05994153022766113,-0.010385701924522947,-0.010529766975071792
15,0.8795332887993325,1.017842411994934,0.7466757297515869,1.0088818073272705,-0.054193973541259766,-0.0024777172760494575,7.895036504047495e-05
16,0.869660629820678,1.0238142013549805,0.7498341798782349,1.0118370056152344,-0.0603790283203125,-0.0017832814222394399,-0.0033566075870863498
17,0.8632645576646032,1.0280709266662598,0.750393807888031,1.013938307762146,-0.06478774547576904,-0.0036402943794672663,-0.004668201500939109
18,0.8580569408211834,1.0379059314727783,0.7550432085990906,1.0187766551971436,-0.07497406005859375,-0.005864488593013495,-0.009212220037974998
19,0.8476170786104474,1.040421962738037,0.756366491317749,1.0200107097625732,-0.07757985591888428,-0.007009739090945109,-0.009989140737877992
20,0.837701443620709,1.0353286266326904,0.7562859654426575,1.017511010169983,-0.0723046064376831,0.002455936879446653,0.002273297493019532
21,0.8325403119663114,1.0507460832595825,0.7616154551506042,1.0250591039657593,-0.0882728099822998,-0.004214788032213818,-0.007691307174588857
22,0.8242808602856522,1.060774326324463,0.7665544748306274,1.0299389362335205,-0.09865915775299072,-0.013930595702788574,-0.01892465463134877
23,0.8168256276736677,1.0563160181045532,0.7639790773391724,1.027772307395935,-0.09404158592224121,-0.00873732449421527,-0.010460329865509816
24,0.8100614702507337,1.069744348526001,0.7697851657867432,1.0342844724655151,-0.10794949531555176,-0.010433519093459324,-0.009905147693704233
25,0.8019628869843823,1.0613561868667603,0.7673798203468323,1.0302214622497559,-0.09926176071166992,-0.0016834549057990183,-0.0033780639697891953
26,0.7905870744021507,1.0688825845718384,0.7703005075454712,1.0338678359985352,-0.10705685615539551,-0.002052968369485919,-0.0013645426768046454
27,0.7843205199525701,1.0823293924331665,0.7758517265319824,1.0403505563735962,-0.12098407745361328,0.002349072454229198,0.001642901442297184
28,0.7814396912357229,1.0760915279388428,0.7743396162986755,1.0373482704162598,-0.11452341079711914,-0.002790152246844225,-0.003842248871425228
29,0.7735291465115401,1.0942569971084595,0.7817152738571167,1.0460673570632935,-0.1333376169204712,-0.00225520063399765,-0.002807170401147327
30,0.7656767898203156,1.0832399129867554,0.7775431275367737,1.040788173675537,-0.12192702293395996,0.002382064415296561,-0.0006295704625801875
