epoch,train_loss,MSE,MAE,RMSE,R2,IC,RankIC
0,1.0995603411357904,1.010216236114502,0.707797646522522,1.00509512424469,-0.02031838893890381,-0.01625093740269843,-0.01697197030627432
1,1.0275614976033174,0.9998037815093994,0.7031360268592834,0.9999018907546997,-0.009801864624023438,-0.0027432406965844,-0.007449270137097742
2,1.007922116401482,0.9957824349403381,0.7019050121307373,0.99788898229599,-0.0057402849197387695,0.019047441711963663,0.009500744192066266
3,0.9964818703788361,0.9958491921424866,0.7023965120315552,0.997922420501709,-0.005807638168334961,0.006471719342941059,-0.003977452367085448
4,0.9902101741181857,0.9952029585838318,0.7014808058738708,0.9975985884666443,-0.005154967308044434,0.01817037662970661,0.012210296659918091
5,0.9859272869808368,0.9965540170669556,0.7022153735160828,0.9982755184173584,-0.0065195560455322266,0.006471878382076332,0.0007842212792707849
6,0.9823884109372762,0.9937254190444946,0.7011814117431641,0.996857762336731,-0.003662705421447754,0.02189687531575813,0.016366077784249013
7,0.9788973731445926,0.9946961998939514,0.7015231847763062,0.9973445534706116,-0.00464320182800293,0.02191492452547053,0.01664101284077988
8,0.9763091707909423,0.9956305027008057,0.7015637755393982,0.9978128671646118,-0.005586743354797363,0.023217718334709248,0.01949210047055126
9,0.9719004804636456,0.9970052242279053,0.7027822136878967,0.9985014796257019,-0.006975293159484863,0.02502364941496244,0.019591202817760764
10,0.9687255750848417,0.9958452582359314,0.7022908329963684,0.9979204535484314,-0.005803704261779785,0.03281054730700809,0.025603997374527367
11,0.9655384587658884,0.9977452754974365,0.7029543519020081,0.9988719820976257,-0.007722735404968262,0.029452242388339798,0.023594632572500943
12,0.9620592027841905,1.0007976293563843,0.7042374014854431,1.0003987550735474,-0.010805606842041016,0.02012119664753285,0.016734984422812026
13,0.9589599316935918,0.9992623925209045,0.704156756401062,0.9996311068534851,-0.009255051612854004,0.026360215724870645,0.019861746678869564
14,0.9555224972926915,0.9998998045921326,0.704717218875885,0.9999498724937439,-0.009898781776428223,0.03056202312988366,0.023929796340978634
15,0.9516552181083656,1.0051660537719727,0.7067251205444336,1.002579689025879,-0.01521766185760498,0.01832205986991328,0.015578066209982342
16,0.9485521374797626,1.003531813621521,0.706322968006134,1.0017642974853516,-0.013567090034484863,0.03444299539458549,0.02414612049440238
17,0.9441551186159526,1.0035972595214844,0.7065671682357788,1.0017969608306885,-0.013633251190185547,0.030964820344016503,0.024273696277190747
18,0.9409518595746967,1.0049494504928589,0.7069299817085266,1.002471685409546,-0.014998912811279297,0.031514986550614875,0.026405228758169936
19,0.9358789523847234,1.0065717697143555,0.7076999545097351,1.003280520439148,-0.016637444496154785,0.031787114685397445,0.026495086483438263
20,0.9349848120615585,1.005560040473938,0.7080742716789246,1.0027761459350586,-0.015615701675415039,0.03458681289425787,0.025159192389827216
21,0.9315042307566237,1.009621262550354,0.7095502614974976,1.0047991275787354,-0.01971745491027832,0.02744808257648199,0.021434857771491428
22,0.9269427365173876,1.012514352798462,0.7106733918190002,1.0062377452850342,-0.02263951301574707,0.03201915962766973,0.02769420639542946
23,0.9223088061251126,1.0143600702285767,0.7115616798400879,1.0071544647216797,-0.024503707885742188,0.032562645804187856,0.02973250686413179
24,0.9185294242473339,1.017900824546814,0.7137994766235352,1.0089106559753418,-0.028079867362976074,0.029523976558763022,0.024764447032938588
25,0.915527037229169,1.0175340175628662,0.712887704372406,1.0087288618087769,-0.027709364891052246,0.025734708408475415,0.022253977498590195
26,0.9119844391122612,1.0155351161956787,0.7130283713340759,1.007737636566162,-0.025690436363220215,0.03959140522536952,0.03063418106516534
27,0.9074863759296247,1.0208048820495605,0.7151734232902527,1.010348916053772,-0.031013011932373047,0.034140915372284336,0.028042220188405395
28,0.9044490066905129,1.0227100849151611,0.7166406512260437,1.011291265487671,-0.03293716907501221,0.025005123613905462,0.019947721662922597
29,0.8995121610625941,1.0281108617782593,0.7184696197509766,1.0139579772949219,-0.038391947746276855,0.027521368249356762,0.022602361076443776
30,0.8976001244212848,1.0292164087295532,0.7195256352424622,1.014503002166748,-0.03950858116149902,0.03560947339006588,0.02734346543898087
31,0.8928117912315788,1.0279443264007568,0.719783365726471,1.0138758420944214,-0.0382237434387207,0.03344415431341649,0.02334234683972598
32,0.8869896786033258,1.0283833742141724,0.7199686765670776,1.0140924453735352,-0.03866720199584961,0.03615889773662596,0.02470287785081029
33,0.8840353286193491,1.0333789587020874,0.7215883135795593,1.016552448272705,-0.04371285438537598,0.028103975613103373,0.021737942701833206
34,0.8819049640488479,1.0358904600143433,0.7236520051956177,1.0177870988845825,-0.0462493896484375,0.022571168506107415,0.016292398147377762
35,0.8783698441904577,1.036120057106018,0.7235679626464844,1.0178998708724976,-0.04648125171661377,0.031052326127006317,0.023989978829815756
36,0.8701695130944495,1.0409066677093506,0.7265710830688477,1.020248293876648,-0.05131566524505615,0.03252016184764227,0.0220341403888288
